Index,Question,Ans,a,b,c,d,
1,भारत की राजधानी क्या है?,d,मुंबई,कोलकाता,चेन्नई,नई दिल्ली,
2,भारत का राष्ट्रीय पक्षी क्या है?,c,मोर,कबूतर,गरुड़,बाज,
3,भारत का राष्ट्रीय फूल क्या है?,b,गुलाब,कमल,सूरजमुखी,चंपा,
4,भारत का राष्ट्रीय गीत किसने लिखा?,b,रबींद्रनाथ टैगोर,बंकिम चंद्र चटर्जी,सुरेंद्रनाथ बनर्जी,प्रेमचंद,
5,भारत की स्वतंत्रता कब मिली?,b,1945,1947,1950,1952,
6,भारत का पहला प्रधानमंत्री कौन था?,a,जवाहरलाल नेहरू,सरदार पटेल,डॉ. राजेंद्र प्रसाद,महात्मा गांधी,
7,भारत का राष्ट्रपति कितने वर्षों के लिए चुना जाता है?,b,3 वर्ष,5 वर्ष,6 वर्ष,4 वर्ष,
8,भारतीय रुपये का प्रतीक क्या है?,c,$,€,₹,£,
9,ताजमहल किस शहर में स्थित है?,a,आगरा,दिल्ली,लखनऊ,जयपुर,
10,भारत का सबसे बड़ा राज्य कौन सा है?,c,मध्य प्रदेश,राजस्थान,महाराष्ट्र,उत्तर प्रदेश,
11,भारत की जनसंख्या कितनी है?,c,100 करोड़,120 करोड़,140 करोड़,160 करोड़,
12,भारत का सबसे लंबा नदी कौन सी है?,a,गंगा,यमुना,ब्रह्मपुत्र,गोदावरी,
13,हिमालय की सबसे ऊंची चोटी कौन सी है?,b,के2,कंचनजंगा,माउंट एवरेस्ट,नंदा देवी,
14,भारत का राष्ट्रीय खेल क्या है?,a,हॉकी,क्रिकेट,फुटबॉल,टेनिस,
15,भारत की सबसे बड़ी मस्जिद कौन सी है?,c,जामा मस्जिद,मोती मस्जिद,बादशाही मस्जिद,चार मीनार,
16,भारत का सबसे बड़ा बांध कौन सा है?,b,भाखरा नांगल,हिराकुड,तेहरी,नर्मदा,
17,भारत का सबसे बड़ा रेलवे स्टेशन कौन सा है?,a,हावड़ा,नई दिल्ली,मुंबई सेंट्रल,चेन्नई सेंट्रल,
18,भारत का सबसे बड़ा हवाई अड्डा कौन सा है?,b,इंदिरा गांधी अंतरराष्ट्रीय,छत्रपति शिवाजी,केम्पेगोडा,नेताजी सुभाष चंद्र बोस,
19,भारत का राष्ट्रीय पशु क्या है?,c,बाघ,शेर,हाथी,गाय,
20,भारत का राष्ट्रीय जलचर पशु क्या है?,a,डॉल्फिन,मगरमच्छ,शार्क,व्हेल,
21,भारत का राष्ट्रीय वृक्ष क्या है?,b,पीपल,नीम,बरगद,आम,
22,भारत का सबसे बड़ा द्वीप कौन सा है?,c,अंडमान,लक्षद्वीप,मिनिकॉय,दीव,
23,भारत का सबसे बड़ा रेगिस्तान कौन सा है?,a,थार,राजस्थान,कच्छ,लद्दाख,
24,भारत की सबसे लंबी सीमा किस देश के साथ है?,b,पाकिस्तान,चीन,बांग्लादेश,नेपाल,
25,भारत का सबसे ऊंचा मीनार कौन सा है?,c,कुतुब मीनार,चार मीनार,ब्रिटिश लाइब्रेरी,विक्टोरिया मेमोरियल,
26,भारत का सबसे पुराना शहर कौन सा है?,a,वाराणसी,पटना,दिल्ली,मथुरा,
27,भारत का सबसे बड़ा व्यापारिक शहर कौन सा है?,b,मुंबई,दिल्ली,कोलकाता,चेन्नई,
28,भारत का सबसे बड़ा त्योहार कौन सा है?,c,दीवाली,होली,दशहरा,ईद,
29,भारत का सबसे बड़ा नदी घाटी कौन सी है?,a,गंगा घाटी,ब्रह्मपुत्र घाटी,इंदु घाटी,गोदावरी घाटी,
30,भारत का सबसे बड़ा झील कौन सी है?,b,वुलर झील,चिल्का झील,डल झील,नैनीताल,
31,भारत का सबसे बड़ा जलप्रपात कौन सा है?,c,जोग जलप्रपात,शिवसमुद्रम,चेयरापुंजी,नोहकालिकाई,
32,भारत का सबसे बड़ा मंदिर कौन सा है?,a,अक्षरधाम,तिरुपति,वैष्णो देवी,गोल्डन टेम्पल,
33,भारत का सबसे बड़ा चर्च कौन सा है?,b,सेंट मैरी चर्च,सेंट पॉल चर्च,सेंट जेम्स चर्च,सेंट जॉन चर्च,
34,भारत का सबसे बड़ा मस्जिद कौन सी है?,c,जामा मस्जिद,मोती मस्जिद,बादशाही मस्जिद,चार मीनार,
35,भारत का सबसे बड़ा गुरुद्वारा कौन सा है?,a,गोल्डन टेम्पल,हरमंदिर साहिब,पाटना साहिब,अमृतसर साहिब,
36,भारत का सबसे बड़ा सिख तीर्थस्थल कौन सा है?,b,अमृतसर,पाटना,नांदेड़,आनंदपुर साहिब,
37,भारत का सबसे बड़ा जैन मंदिर कौन सा है?,c,दिलवाड़ा,पालिताना,रणकपुर,श्रवणबेलगोला,
38,भारत का सबसे बड़ा बौद्ध मंदिर कौन सा है?,a,बोधगया,सारनाथ,कुशीनगर,लुंबिनी,
39,भारत का सबसे बड़ा हिंदू मंदिर कौन सा है?,b,तिरुपति,वैष्णो देवी,अक्षरधाम,सोमनाथ,
40,भारत का सबसे बड़ा मुस्लिम तीर्थस्थल कौन सा है?,c,अजमेर शरीफ,हाजरत बल,निजामुद्दीन,ख्वाजा मोइनुद्दीन,
41,भारत का सबसे बड़ा ईसाई तीर्थस्थल कौन सा है?,a,वेलांकनी,गोवा,केरला,तमिलनाडु,
42,भारत का सबसे बड़ा सिख तीर्थस्थल कौन सा है?,b,अमृतसर,पाटना,नांदेड़,आनंदपुर साहिब,
43,भारत का सबसे बड़ा जैन तीर्थस्थल कौन सा है?,c,पालिताना,दिलवाड़ा,रणकपुर,श्रवणबेलगोला,
44,भारत का सबसे बड़ा बौद्ध तीर्थस्थल कौन सा है?,a,बोधगया,सारनाथ,कुशीनगर,लुंबिनी,
45,भारत का सबसे बड़ा हिंदू तीर्थस्थल कौन सा है?,b,वाराणसी,प्रयागराज,हरिद्वार,रामेश्वरम,
46,भारत का सबसे बड़ा मुस्लिम तीर्थस्थल कौन सा है?,c,मक्का,मदीना,अजमेर शरीफ,हाजरत बल,
47,भारत का सबसे बड़ा ईसाई तीर्थस्थल कौन सा है?,a,वेलांकनी,गोवा,केरला,तमिलनाडु,
48,भारत का सबसे बड़ा सिख तीर्थस्थल कौन सा है?,b,अमृतसर,पाटना,नांदेड़,आनंदपुर साहिब,
49,भारत का सबसे बड़ा जैन तीर्थस्थल कौन सा है?,c,पालिताना,दिलवाड़ा,रणकपुर,श्रवणबेलगोला,
50,भारत का सबसे बड़ा बौद्ध तीर्थस्थल कौन सा है?,a,बोधगया,सारनाथ,कुशीनगर,लुंबिनी,
51,भारत की संविधान सभा की पहली अध्यक्ष कौन थीं?,c,सरोजिनी नायडू,इंदिरा गांधी,सुचेता कृपालानी,विजया लक्ष्मी पंडित,
52,भारत की संविधान किस वर्ष लागू हुई?,b,1947,1950,1952,1949,
53,भारत के संविधान के मुख्य वास्तुकार कौन थे?,a,डॉ. बी. आर. अम्बेडकर,जवाहरलाल नेहरू,सरदार पटेल,महात्मा गांधी,
54,भारत की संविधान में कितने अनुच्छेद हैं?,c,395,400,450,380,
55,भारत की संविधान में कितने अनुसूचियां हैं?,b,10,12,8,15,
56,भारत की संविधान का कौन सा अनुच्छेद मौलिक अधिकारों के लिए प्रसिद्ध है?,c,अनुच्छेद 14,अनुच्छेद 21,अनुच्छेद 32,अनुच्छेद 19,
57,भारत की संविधान में मौलिक कर्तव्य किस अनुच्छेद में हैं?,a,अनुच्छेद 51A,अनुच्छेद 14,अनुच्छेद 32,अनुच्छेद 19,
58,भारत की संविधान में नीति निदेशक तत्व किस भाग में हैं?,b,भाग IV,भाग III,भाग II,भाग V,
59,भारत की संविधान में राष्ट्रीय आपदा प्रबंधन प्राधिकरण किस अनुच्छेद में है?,c,अनुच्छेद 262,अनुच्छेद 356,अनुच्छेद 123,अनुच्छेद 300,
60,भारत की संविधान में उपराष्ट्रपति का चुनाव कैसे होता है?,a,प्रत्यक्ष चुनाव,अप्रत्यक्ष चुनाव,राष्ट्रपति द्वारा नियुक्ति,संसद द्वारा चुनाव,
61,भारत की संविधान में राष्ट्रपति का कार्यकाल कितना है?,b,5 वर्ष,6 वर्ष,4 वर्ष,3 वर्ष,
62,भारत की संविधान में प्रधानमंत्री की नियुक्ति कौन करता है?,a,राष्ट्रपति,उपराष्ट्रपति,संसद,लोकसभा,
63,भारत की संविधान में संसद के दो सदन कौन से हैं?,c,लोकसभा और राज्यसभा,लोकसभा और विधानसभा,राज्यसभा और विधान परिषद,लोकसभा और विधान परिषद,
64,भारत की संविधान में लोकसभा के सदस्यों की संख्या कितनी है?,b,543,545,550,540,
65,भारत की संविधान में राज्यसभा के सदस्यों की संख्या कितनी है?,c,245,250,240,255,
66,भारत की संविधान में उच्चतम न्यायालय के न्यायाधीशों की संख्या कितनी है?,a,34,30,35,33,
67,भारत की संविधान में मुख्य न्यायाधीश की नियुक्ति कौन करता है?,b,राष्ट्रपति,प्रधानमंत्री,लोकसभा अध्यक्ष,राज्यसभा अध्यक्ष,
68,भारत की संविधान में अनुच्छेद 370 किस राज्य से संबंधित है?,c,जम्मू और कश्मीर,पंजाब,हिमाचल प्रदेश,उत्तराखंड,
69,भारत की संविधान में अनुच्छेद 356 क्या है?,a,राष्ट्रपति शासन,आपातकाल,राष्ट्रपति का चुनाव,उपराष्ट्रपति का चुनाव,
70,भारत की संविधान में मौलिक अधिकार किस भाग में हैं?,b,भाग III,भाग II,भाग IV,भाग I,
71,भारत की संविधान में समानता का अधिकार किस अनुच्छेद में है?,c,अनुच्छेद 14,अनुच्छेद 15,अनुच्छेद 16,अनुच्छेद 17,
72,भारत की संविधान में धर्म की स्वतंत्रता किस अनुच्छेद में है?,a,अनुच्छेद 25,अनुच्छेद 26,अनुच्छेद 27,अनुच्छेद 28,
73,भारत की संविधान में शिक्षा का अधिकार किस अनुच्छेद में है?,b,अनुच्छेद 21A,अनुच्छेद 45,अनुच्छेद 51A,अनुच्छेद 32,
74,भारत की संविधान में जीवन का अधिकार किस अनुच्छेद में है?,c,अनुच्छेद 21,अनुच्छेद 14,अनुच्छेद 19,अनुच्छेद 20,
75,भारत की संविधान में संपत्ति का अधिकार किस अनुच्छेद में है?,a,अनुच्छेद 300,अनुच्छेद 301,अनुच्छेद 302,अनुच्छेद 303,
76,भारत की संविधान में व्यवसाय की स्वतंत्रता किस अनुच्छेद में है?,b,अनुच्छेद 19(1)(g),अनुच्छेद 21,अनुच्छेद 14,अनुच्छेद 32,
77,भारत की संविधान में संविधान संशोधन किस अनुच्छेद में है?,c,अनुच्छेद 368,अनुच्छेद 370,अनुच्छेद 356,अनुच्छेद 300,
78,भारत की संविधान में संविधान संशोधन के लिए कितने सदस्यों की आवश्यकता होती है?,a,दो-तिहाई बहुमत,साधारण बहुमत,तीन-चौथाई बहुमत,पूर्ण बहुमत,
79,भारत की संविधान में उच्चतम न्यायालय की स्थापना कब हुई?,b,1950,1947,1952,1949,
80,भारत की संविधान में न्यायिक समीक्षा किस अनुच्छेद में है?,c,अनुच्छेद 32,अनुच्छेद 226,अनुच्छेद 227,अनुच्छेद 228,
81,भारत की संविधान में राज्यपाल की नियुक्ति कौन करता है?,a,राष्ट्रपति,प्रधानमंत्री,राज्य के मुख्यमंत्री,राज्यपाल स्वयं,
82,भारत की संविधान में राज्यसभा के सदस्यों का चुनाव कैसे होता है?,b,अप्रत्यक्ष चुनाव,प्रत्यक्ष चुनाव,राष्ट्रपति द्वारा नियुक्ति,संसद द्वारा चुनाव,
83,भारत की संविधान में लोकसभा के सदस्यों का चुनाव कैसे होता है?,c,प्रत्यक्ष चुनाव,अप्रत्यक्ष चुनाव,राष्ट्रपति द्वारा नियुक्ति,संसद द्वारा चुनाव,
84,भारत की संविधान में वित्त आयोग किस अनुच्छेद में है?,a,अनुच्छेद 280,अनुच्छेद 281,अनुच्छेद 282,अनुच्छेद 283,
85,भारत की संविधान में नियोजन आयोग किस अनुच्छेद में है?,b,अनुच्छेद 280,अनुच्छेद 282,अनुच्छेद 284,अनुच्छेद 286,
86,भारत की संविधान में भारतीय रिज़र्व बैंक की स्थापना कब हुई?,c,1935,1947,1950,1949,
87,भारत की संविधान में भारतीय रिज़र्व बैंक का पहला गवर्नर कौन था?,a,सर जेम्स टेलर,सर चिंतामन देशमुख,सर बी. आर. अम्बेडकर,सर जवाहरलाल नेहरू,
88,भारत की संविधान में पंचवर्षीय योजना किस वर्ष शुरू हुई?,b,1951,1950,1952,1947,
89,भारत की संविधान में हरित क्रांति किस वर्ष शुरू हुई?,c,1966,1965,1967,1968,
90,भारत की संविधान में बैंकिंग राष्ट्रीकरण कब हुआ?,a,1969,1970,1971,1968,
91,भारत की संविधान में आर्थिक सुधार 1991 किसके द्वारा किए गए?,b,डॉ. मनमोहन सिंह,पी. वी. नरसिंह राव,अटल बिहारी वाजपेयी,राजीव गांधी,
92,भारत की संविधान में जीएसटी किस वर्ष लागू हुआ?,c,2017,2016,2018,2015,
93,भारत की संविधान में डिजिटल इंडिया किस वर्ष शुरू हुआ?,a,2015,2016,2017,2018,
94,भारत की संविधान में मेक इन इंडिया किस वर्ष शुरू हुआ?,b,2014,2015,2016,2017,
95,भारत की संविधान में स्टार्टअप इंडिया किस वर्ष शुरू हुआ?,c,2016,2015,2017,2018,
96,भारत की संविधान में चंद्रयान-3 किस वर्ष लॉन्च हुआ?,a,2019,2018,2020,2017,
97,भारत की संविधान में मंगलयान किस वर्ष लॉन्च हुआ?,b,2013,2014,2015,2016,
98,भारत की संविधान में आर्यभट्ट किस शताब्दी के हैं?,c,पांचवीं,चौथी,छठी,तीसरी,
99,भारत की संविधान में शून्य का आविष्कार किसने किया?,a,आर्यभट्ट,ब्रह्मगुप्त,वराहमिहिर,भास्कराचार्य,
100,भारत की संविधान में दशमलव प्रणाली किसने भारत में प्रचलित की?,b,आर्यभट्ट,ब्रह्मगुप्त,वराहमिहिर,भास्कराचार्य,